,femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id
0,DR-4679-WV,4679,WV,DR,2022-11-28T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2022-08-14T00:00:00.000Z,2022-08-15T00:00:00.000Z,,False,54,019,99019,Fayette (County),22096,,2023-05-22T03:41:22.800Z,ee161786f93c8b5dd0015bce73327f2fb63e024e,324a6644-1043-4a89-968d-dea99f8b3387
1,DR-4678-WV,4678,WV,DR,2022-11-28T00:00:00.000Z,2023,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2022-07-12T00:00:00.000Z,2022-07-13T00:00:00.000Z,,False,54,047,99047,McDowell (County),22093,,2023-05-22T03:41:22.800Z,949217de3f9f787a599d2a073a03155465478ddf,ee1ebd10-f354-4292-a761-f86f732cf519
2,DR-4605-WV,4605,WV,DR,2021-05-20T00:00:00.000Z,2021,Flood,SEVERE STORMS AND FLOODING,False,False,True,True,2021-02-27T00:00:00.000Z,2021-03-04T00:00:00.000Z,,False,54,005,99005,Boone (County),21037,2021-07-19T00:00:00.000Z,2023-05-22T03:41:22.800Z,1b03d2f072ab789077da8a0cb6a5c3a564b26f8a,1161b08b-3dfb-4457-af4a-32a12d6a4a9b
3,DR-4605-WV,4605,WV,DR,2021-05-20T00:00:00.000Z,2021,Flood,SEVERE STORMS AND FLOODING,False,False,True,True,2021-02-27T00:00:00.000Z,2021-03-04T00:00:00.000Z,,False,54,043,99043,Lincoln (County),21037,2021-07-19T00:00:00.000Z,2023-05-22T03:41:22.800Z,c1c489a9df03a26ff5438a154d34c18bcf79d61b,be88c6c1-1245-4fe5-aa36-01a8be204082
4,DR-4605-WV,4605,WV,DR,2021-05-20T00:00:00.000Z,2021,Flood,SEVERE STORMS AND FLOODING,False,False,True,True,2021-02-27T00:00:00.000Z,2021-03-04T00:00:00.000Z,,False,54,045,99045,Logan (County),21037,2021-07-19T00:00:00.000Z,2023-05-22T03:41:22.800Z,ac535797f232b649e445a582e19521d041f621b3,57baa80d-da43-4335-9791-fe260fc93e8a
5,DR-4605-WV,4605,WV,DR,2021-05-20T00:00:00.000Z,2021,Flood,SEVERE STORMS AND FLOODING,True,False,False,True,2021-02-27T00:00:00.000Z,2021-03-04T00:00:00.000Z,,False,54,011,99011,Cabell (County),21037,2021-07-19T00:00:00.000Z,2023-05-22T03:41:22.800Z,a05b91fe53372ddb0ed95ca5393bcbee70cb0527,b7b41889-bab6-4f47-97ed-425bed4ebb7e
6,DR-4605-WV,4605,WV,DR,2021-05-20T00:00:00.000Z,2021,Flood,SEVERE STORMS AND FLOODING,True,False,True,True,2021-02-27T00:00:00.000Z,2021-03-04T00:00:00.000Z,,False,54,039,99039,Kanawha (County),21037,2021-07-19T00:00:00.000Z,2023-05-22T03:41:22.800Z,2364dc184560a3d0bcbab0c4c47f53eb8a4fc0af,84b67bb6-aa48-4087-89cf-a87db1034b17
7,DR-4605-WV,4605,WV,DR,2021-05-20T00:00:00.000Z,2021,Flood,SEVERE STORMS AND FLOODING,True,False,True,True,2021-02-27T00:00:00.000Z,2021-03-04T00:00:00.000Z,,False,54,059,99059,Mingo (County),21037,2021-07-19T00:00:00.000Z,2023-05-22T03:41:22.800Z,f128cc23241b61660914567a279147f91defdc04,22573820-5728-4555-8f47-5b10b3b7d23a
8,DR-4605-WV,4605,WV,DR,2021-05-20T00:00:00.000Z,2021,Flood,SEVERE STORMS AND FLOODING,True,False,True,True,2021-02-27T00:00:00.000Z,2021-03-04T00:00:00.000Z,,False,54,099,99099,Wayne (County),21037,2021-07-19T00:00:00.000Z,2023-05-22T03:41:22.800Z,393010c254f47bb98e18aa1075275bf1b31b322c,4f135c03-c4cb-4ab0-9a73-894e6687dcf1
9,DR-4603-WV,4603,WV,DR,2021-05-13T00:00:00.000Z,2021,Severe Ice Storm,SEVERE WINTER STORMS,False,False,True,True,2021-02-10T00:00:00.000Z,2021-02-16T00:00:00.000Z,,False,54,011,99011,Cabell (County),21029,,2023-05-22T03:41:22.800Z,87efe27485131d5eb90cc9c95c0966ec833c6b64,75a72cb5-0e5e-4132-a8ae-852c6e47a497
