"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1WVTC0001","2009-10-01","39.0982","-79.4334","1129.6","DAVIS 2.9 SE, WV US","   48",",,N","    0",",,N","    0",",,N",,,,
"US1WVTC0001","2009-10-02","39.0982","-79.4334","1129.6","DAVIS 2.9 SE, WV US","    0",",,N","    0",",,N","    0",",,N",,,,
"US1WVTC0001","2009-10-03","39.0982","-79.4334","1129.6","DAVIS 2.9 SE, WV US","   23",",,N","    0",",,N","    0",",,N",,,,
"US1WVTC0001","2009-10-04","39.0982","-79.4334","1129.6","DAVIS 2.9 SE, WV US","    0",",,N","    0",",,N","    0",",,N",,,,
"US1WVTC0001","2009-10-05","39.0982","-79.4334","1129.6","DAVIS 2.9 SE, WV US","    0",",,N","    0",",,N","    0",",,N",,,,
"US1WVTC0001","2009-10-06","39.0982","-79.4334","1129.6","DAVIS 2.9 SE, WV US","    0",",,N","    0",",,N","    0",",,N",,,,
"US1WVTC0001","2009-10-07","39.0982","-79.4334","1129.6","DAVIS 2.9 SE, WV US","  175",",,N","    0",",,N","    0",",,N",,,,
"US1WVTC0001","2009-10-08","39.0982","-79.4334","1129.6","DAVIS 2.9 SE, WV US","    0",",,N","    0",",,N","    0",",,N",,,,
"US1WVTC0001","2009-10-09","39.0982","-79.4334","1129.6","DAVIS 2.9 SE, WV US","  165",",,N","    0",",,N","    0",",,N",,,,
"US1WVTC0001","2009-10-10","39.0982","-79.4334","1129.6","DAVIS 2.9 SE, WV US","  193",",,N","    0",",,N","    0",",,N",,,,
"US1WVTC0001","2009-10-11","39.0982","-79.4334","1129.6","DAVIS 2.9 SE, WV US","   43",",,N","    0",",,N","    0",",,N",,,,
"US1WVTC0001","2009-10-12","39.0982","-79.4334","1129.6","DAVIS 2.9 SE, WV US","    0",",,N","    0",",,N","    0",",,N",,,,
"US1WVTC0001","2009-10-13","39.0982","-79.4334","1129.6","DAVIS 2.9 SE, WV US","   10",",,N","    0",",,N","    0",",,N",,,,
"US1WVTC0001","2009-10-14","39.0982","-79.4334","1129.6","DAVIS 2.9 SE, WV US","    0",",,N","    0",",,N","    0",",,N",,,,
"US1WVTC0001","2009-10-15","39.0982","-79.4334","1129.6","DAVIS 2.9 SE, WV US","   46",",,N","    0",",,N","    0",",,N",,,,
