"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00468893","1998-09-01","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0",,,"  311",",,0","  139",",,0",,,,,,,"  139",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-02","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  289",",,0","  139",",,0",,,,,,,"  144",",,0,0700",,,,,,,,,,
"USC00468893","1998-09-03","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  289",",,0","  144",",,0",,,,,,,"  144",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-04","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  289",",,0","  144",",,0",,,,,,,"  161",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-05","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  289",",,0","  161",",,0",,,,,,,"  172",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-06","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  311",",,0","  172",",,0",,,,,,,"  194",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-07","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  344",",,0","  194",",,0",,,,,,,"  194",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-08","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","  264",",,0,0700","    0","P,,0","    0","P,,0","  311",",,0","  139",",,0",,,,,,,"  139",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-09","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  228",",,0","   72",",,0",,,,,,,"   78",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-10","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  217",",,0","   72",",,0",,,,,,,"   72",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-11","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  239",",,0","   72",",,0",,,,,,,"   83",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-12","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  278",",,0","   78",",,0",,,,,,,"  117",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-13","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  311",",,0","  117",",,0",,,,,,,"  122",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-14","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  328",",,0","  122",",,0",,,,,,,"  133",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-15","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  361",",,0","  133",",,0",,,,,,,"  156",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-16","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  328",",,0","  156",",,0",,,,,,,"  167",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-17","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  322",",,0","  167",",,0",,,,,,,"  178",",,0,0700",,,,,,,,,,
"USC00468893","1998-09-18","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  306",",,0","  172",",,0",,,,,,,"  178",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-19","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  317",",,0","  178",",,0",,,,,,,"  183",",,0,0700",,,,,,,,,,
"USC00468893","1998-09-20","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","   30",",,0,0700","    0","P,,0","    0","P,,0","  300",",,0","  167",",,0",,,,,,,"  167",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-21","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  317",",,0","  167",",,0",,,,,,,"  206",",,0,0700",,,,,,,,,,
"USC00468893","1998-09-22","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","  201",",,0,0700","    0","P,,0","    0","P,,0","  239",",,0","  183",",,0",,,,,,,"  183",",,0,0700",,,,,,,,,,
"USC00468893","1998-09-23","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    5",",,0,0700","    0","P,,0","    0","P,,0","  261",",,0","  106",",,0",,,,,,,"  106",",,0,0700",,,,,,,,,,
"USC00468893","1998-09-24","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  211",",,0","   56",",,0",,,,,,,"   61",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-25","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  267",",,0","   61",",,0",,,,,,,"  150",",,0,0700",,,,,,,,,,
"USC00468893","1998-09-26","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  283",",,0","  150",",,0",,,,,,,"  161",",,0,0700",,,,,,,,,,
"USC00468893","1998-09-27","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  317",",,0","  161",",,0",,,,,,,"  189",",,0,0700",,,,,,,,,,
"USC00468893","1998-09-28","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  317",",,0","  172",",,0",,,,,,,"  172",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-29","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0","  289",",,0","  117",",,0",,,,,,,"  122",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-09-30","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    3",",,0,0700","    0","P,,0","    0","P,,0","  317",",,0","  106",",,0",,,,,,,"  161",",,0,0700",,,,,,,,,,
"USC00468893","1998-10-01","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0","T,,0,0700","    0","P,,0",,,"  294",",,0","  161",",,0",,,,,,,"  167",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-10-02","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0",,,"  222",",,0","   39",",,0",,,,,,,"   44",",,0,0700","    1",",,0",,,,,,,,
"USC00468893","1998-10-03","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    0",",,0,0700","    0","P,,0",,,"  217",",,0","   44",",,0",,,,,,,"   89",",,0,0700",,,,,,,,,,
"USC00468893","1998-10-04","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","   61",",,0,0700","    0","P,,0",,,"  156",",,0","   89",",,0",,,,,,,"  133",",,0,0700",,,,,,,,,,
"USC00468893","1998-10-05","38.36139","-81.84972","335.3","TORNADO 2 NW, WV US","    3",",,0,0700","    0","P,,0",,,"  200",",,0","  133",",,0",,,,,,,"  167",",,0,0700","    1",",,0",,,,,,,,
