"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"US1WVFY0001","2009-05-23","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-05-24","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-05-25","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-05-26","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","  305",",,N",,,,,,,,
"US1WVFY0001","2009-05-27","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","  168",",,N",,,,,,,,
"US1WVFY0001","2009-05-28","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","   94",",,N",,,,,,,,
"US1WVFY0001","2009-05-29","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","   91",",,N",,,,,,,,
"US1WVFY0001","2009-05-30","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","   23",",,N",,,,,,,,
"US1WVFY0001","2009-05-31","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","  295",",,N",,,,,,,,
"US1WVFY0001","2009-06-01","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-06-02","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-06-03","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-06-04","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","   10",",,N",,,,,,,,
"US1WVFY0001","2009-06-05","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","  114",",,N",,,,,,,,
"US1WVFY0001","2009-06-26","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US",,,,,,,"   14",",,N","  254",",,N"
"US1WVFY0001","2009-07-01","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-07-02","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","   13",",,N",,,,,,,,
"US1WVFY0001","2009-07-05","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","  211",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-07-06","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","  224",",,N",,,,,,,,
"US1WVFY0001","2009-07-09","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US",,,,,,,"    3",",,N","    0",",,N"
"US1WVFY0001","2009-07-10","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","  300",",,N",,,,,,,,
"US1WVFY0001","2009-07-11","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    8",",,N",,,,,,,,
"US1WVFY0001","2009-07-13","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    3",",,N",,,,,,,,
"US1WVFY0001","2009-07-14","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-07-15","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-07-16","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    5",",,N",,,,,,,,
"US1WVFY0001","2009-07-17","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","   10",",,N",,,,,,,,
"US1WVFY0001","2009-07-18","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","  226",",,N",,,,,,,,
"US1WVFY0001","2009-07-19","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-07-20","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","   13",",,N",,,,,,,,
"US1WVFY0001","2009-07-21","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","  635",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-07-22","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-07-27","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US",,,,,,,"    3",",,N","  292",",,N"
"US1WVFY0001","2009-07-29","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-08-01","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US",,,,,,,"    3",",,N","  645",",,N"
"US1WVFY0001","2009-08-02","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","  450",",,N",,,,,,,,
"US1WVFY0001","2009-08-07","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-08-08","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-08-09","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-08-10","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-08-11","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","  615",",,N",,,,,,,,
"US1WVFY0001","2009-08-12","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","  155",",,N",,,,,,,,
"US1WVFY0001","2009-08-13","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","   10",",,N",,,,,,,,
"US1WVFY0001","2009-08-14","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-08-15","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-08-16","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-08-17","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-08-18","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-08-19","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","   86",",,N",,,,,,,,
"US1WVFY0001","2009-08-20","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-08-21","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","   36",",,N",,,,,,,,
"US1WVFY0001","2009-08-22","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","   36",",,N",,,,,,,,
"US1WVFY0001","2009-08-23","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    3",",,N",,,,,,,,
"US1WVFY0001","2009-08-24","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-08-27","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US",,,,,,,"    3",",,N","    0",",,N"
"US1WVFY0001","2009-08-30","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US",,,,,,,"    3",",,N","   89",",,N"
"US1WVFY0001","2009-08-31","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-09-06","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US",,,,,,,"    6",",,N","    0",",,N"
"US1WVFY0001","2009-09-07","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","  112",",,N",,,,,,,,
"US1WVFY0001","2009-09-08","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","   84",",,N",,,,,,,,
"US1WVFY0001","2009-09-09","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-09-10","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","   56",",,N",,,,,,,,
"US1WVFY0001","2009-09-20","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US",,,,,,,"   10",",,N","    0",",,N"
"US1WVFY0001","2009-09-22","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","   25",",,N",,,,,,,,
"US1WVFY0001","2009-09-23","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","   10",",,N",,,,,,,,
"US1WVFY0001","2009-09-24","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVFY0001","2009-09-28","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US",,,,,,,"    4",",,N","  770",",,N"
"US1WVFY0001","2009-09-29","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","   51",",,N",,,,,,,,
"US1WVFY0001","2009-10-01","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",L,N","    0",",,N",,,,,,
"US1WVFY0001","2009-10-02","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",L,N","    0",",,N",,,"    3",",L,N","    3",",L,N"
"US1WVFY0001","2009-10-03","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    8",",,N",,,,,,,,
"US1WVFY0001","2009-10-04","38.06","-81.11","519.1","FAYETTEVILLE 0.6 NNW, WV US","    0",",,N","    0",",,N",,,,,,
