"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1WVGB0004","2013-11-11","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    0",",,N","    0",",,N","    0",",,N",,,,,"    0",",,N","    0",",,N"
"US1WVGB0004","2013-11-12","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    0",",,N","    0",",,N","   18",",,N",,,,,,,,
"US1WVGB0004","2013-11-13","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    0",",,N","    0",",,N","    0",",,N",,,,,"    0",",,N","    0",",,N"
"US1WVGB0004","2013-11-14","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVGB0004","2013-11-15","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVGB0004","2013-11-16","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVGB0004","2013-11-21","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVGB0004","2013-11-22","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVGB0004","2013-11-23","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","  130",",,N",,,,,,,,,,,,
"US1WVGB0004","2013-11-24","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    3",",,N",,,,,,,,,,,,
"US1WVGB0004","2013-11-25","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVGB0004","2013-11-26","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","   71",",,N",,,,,,,,,,,,
"US1WVGB0004","2013-11-27","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","  475",",,N",,,"   38",",,N",,,,,"  475",",,N",,
"US1WVGB0004","2013-11-28","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","   58",",,N",,,"   94",",,N",,,,,"   61",",,N",,
"US1WVGB0004","2013-12-01","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US",,,,,"    0",",,N","    3",",,N","    0",",,N","    0",",,N",,
"US1WVGB0004","2013-12-02","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    0",",,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1WVGB0004","2013-12-03","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    0","T,,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1WVGB0004","2013-12-04","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    0",",,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1WVGB0004","2013-12-05","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    0",",,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1WVGB0004","2013-12-06","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","   53",",,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1WVGB0004","2013-12-07","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","  312",",,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1WVGB0004","2013-12-09","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US",,,,,"    0",",,N","    2",",,N","  231",",,N","    0",",,N",,
"US1WVGB0004","2013-12-10","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","  109",",,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1WVGB0004","2013-12-11","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","   13",",,N","   15",",,N",,,,,,,,,"    8",",,N"
"US1WVGB0004","2013-12-12","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    0","T,,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1WVGB0004","2013-12-13","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    0",",,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1WVGB0004","2013-12-14","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","   53",",,N","   48",",,N",,,,,,,,,"   58",",,N"
"US1WVGB0004","2013-12-16","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US",,,,,"   10",",,N","    2",",,N","  119",",,N","    0","T,,N",,
"US1WVGB0004","2013-12-18","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US",,,,,"   38",",,N","    2",",,N","  127",",,N","   64",",,N",,
"US1WVGB0004","2013-12-19","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    0",",,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1WVGB0004","2013-12-20","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    0",",,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1WVGB0004","2013-12-21","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","    0",",,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1WVGB0004","2013-12-22","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","  122",",,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1WVGB0004","2013-12-23","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US","  168",",,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1WVGB0004","2013-12-26","37.9704961180687","-80.7667368650436","746.2","RAINELLE 0.3 ENE, WV US",,,,,"   41",",,N","    3",",,N","   30",",,N","    0",",,N",,
