"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1WVNC0003","2009-09-16","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVNC0003","2009-09-17","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVNC0003","2009-09-19","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVNC0003","2009-09-20","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVNC0003","2009-09-21","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVNC0003","2009-09-22","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   43",",,N",,,,,,,,,,,,
"US1WVNC0003","2009-09-23","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVNC0003","2009-09-24","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVNC0003","2009-09-25","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   64",",,N",,,,,,,,,,,,
"US1WVNC0003","2009-09-26","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","  196",",,N",,,,,,,,,,,,
"US1WVNC0003","2009-09-27","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","  432",",,N",,,,,,,,,,,,
"US1WVNC0003","2009-09-28","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   25",",,N",,,,,,,,,,,,
"US1WVNC0003","2009-09-29","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVNC0003","2009-10-01","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    3",",,N",,,,,,,,,,,,
"US1WVNC0003","2009-10-02","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVNC0003","2009-10-03","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVNC0003","2009-10-04","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVNC0003","2009-10-06","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVNC0003","2009-10-07","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   25",",,N",,,,,,,,,,,,
"US1WVNC0003","2009-10-10","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","  213",",,N",,,,,,,,,,,,
"US1WVNC0003","2009-10-17","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   13",",,N",,,,,,,,,,,,
"US1WVNC0003","2009-10-18","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    8",",,N",,,,,,,,,,,,
"US1WVNC0003","2010-01-17","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   51",",,N",,,,,,,,,,,,
"US1WVNC0003","2010-01-18","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   66",",,N",,,,,,,,,,,,
"US1WVNC0003","2010-01-19","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVNC0003","2010-01-20","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   18",",,N",,,,,,,,,,,,
"US1WVNC0003","2010-01-21","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   51",",,N",,,,,,,,,,,,
"US1WVNC0003","2010-01-22","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   71",",,N",,,,,,,,,,,,
"US1WVNC0003","2010-01-23","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVNC0003","2010-01-24","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVNC0003","2010-01-25","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","  241",",,N",,,,,,,,,,,,
"US1WVNC0003","2010-01-26","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   64",",,N","    0","T,,N","    0","T,,N",,,,,"    0","T,,N","    8",",,N"
"US1WVNC0003","2010-01-27","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   25",",,N","   18",",,N","   18",",,N",,,,,"   25",",,N","   25",",,N"
"US1WVNC0003","2010-01-28","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N","    0",",,N",,,,,"    0",",,N","    0",",,N"
"US1WVNC0003","2010-01-29","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N",,,,,,,,,,
"US1WVNC0003","2010-01-30","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   53",",,N","   46",",,N","   46",",,N",,,,,"   53",",,N","   53",",,N"
"US1WVNC0003","2010-01-31","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   64",",,N","   89",",,N","  102",",,N",,,,,"   76",",,N","   69",",,N"
"US1WVNC0003","2010-02-01","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N","   51",",,N",,,,,"  102",",,N","    0",",,N"
"US1WVNC0003","2010-02-02","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N","   38",",,N",,,,,"  112",",,N","    0",",,N"
"US1WVNC0003","2010-02-03","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   25",",,N","    0",",I,N","   25",",,N",,,,,"  119",",,N","   25",",I,N"
"US1WVNC0003","2010-02-04","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0","T,,N","    0","T,,N","   25",",,N",,,,,"  122",",,N","    0","T,,N"
"US1WVNC0003","2010-02-05","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   20",",,N","    0","T,,N","   13",",,N",,,,,"   89",",,N","    0","T,,N"
"US1WVNC0003","2010-02-06","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","  279",",,N","   20",",,N","   38",",,N",,,,,"   25",",,N","   25",",,N"
"US1WVNC0003","2010-02-07","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0","T,,N","    0","T,,N","   13",",,N",,,,,"   25",",,N","    0","T,,N"
"US1WVNC0003","2010-02-08","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0","T,,N","    0","T,,N","   13",",,N",,,,,"   36",",,N","    0","T,,N"
"US1WVNC0003","2010-02-09","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0","T,,N","    0","T,,N","   13",",,N",,,,,"    3",",,N","    0","T,,N"
"US1WVNC0003","2010-02-10","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","  170",",,N","   89",",,N","   89",",I,N",,,,,"  178",",,N","  170",",,N"
"US1WVNC0003","2010-02-11","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   81",",,N","  127",",I,N","  368",",I,N",,,,,"  287",",,N","   81",",,N"
"US1WVNC0003","2010-02-12","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   23",",,N","   38",",,N","  216",",,N",,,,,"  262",",,N","   36",",,N"
"US1WVNC0003","2010-02-13","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    5",",,N","    0","T,,N","  152",",,N",,,,,"  229",",,N","    0","T,,N"
"US1WVNC0003","2010-02-14","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   15",",,N","   20",",,N","  178",",,N",,,,,"  191",",,N","   15",",,N"
"US1WVNC0003","2010-02-15","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N","  102",",,N",,,,,"  132",",,N","    0",",,N"
"US1WVNC0003","2010-02-16","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   41",",,N","  135",",,N","  203",",,N",,,,,"  272",",,N","  180",",,N"
"US1WVNC0003","2010-02-17","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   41",",,N","  114",",,N","  254",",,N",,,,,"  325",",,N","   91",",,N"
"US1WVNC0003","2010-02-18","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   64",",,N","  104",",,N","  318",",,N",,,,,"  394",",,N","   56",",,N"
"US1WVNC0003","2010-02-19","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   46",",,N","    0","T,,N","  241",",,N",,,,,"  396",",,N","    0","T,,N"
"US1WVNC0003","2010-02-20","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","   38",",,N","    0","T,I,N","  140",",,N",,,,,"  335",",,N","   38",",I,N"
"US1WVNC0003","2010-02-21","38.14271","-80.853738","671.8","RUNA 0.1 W, WV US","    0",",,N","    0",",,N","  114",",,N",,,,,"  290",",,N","    0",",,N"
