"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00467513","1986-01-01","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   53",",,0,0700","    0","P,,0","   76",",,0,","   39",",,0","  -67",",,0",,,,,,,,,"  -67",",,0,0700",,,,,,,,,"    1",",,0",,
"USC00467513","1986-01-02","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0",",,0,0700","    0","P,,0","   51",",,0,","   28",",,0","  -78",",,0",,,,,,,,,"  -11",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-03","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0","T,,0,0700","    0","P,,0","   25",",,0,","   89",",,0","  -17",",,0",,,,,,,,,"   28",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-04","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0",",,0,0700","    0","P,,0","   25",",,0,","   39",",,0","  -56",",,0",,,,,,,,,"  -44",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-05","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0","T,,0,0700","   13",",,0","   25",",,0,","   56",",,0","  -67",",,0",,,,,,,,,"  -61",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-06","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   51",",,0,0700","   76",",,0","  102",",,0,","  -61",",,0"," -106",",,0",,,,,,,,,"  -89",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-07","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0","T,,0,0700","    0","T,,0","  102",",,0,","    6",",,0","  -94",",,0",,,,,,,,,"  -83",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-08","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0","T,,0,0700","    0","T,,0","  102",",,0,","  -78",",,0"," -194",",,0",,,,,,,,," -194",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-09","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0",",,0,0700","    0",",,0","  102",",,0,","  -33",",,0"," -194",",,0",,,,,,,,,"  -72",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-10","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0",",,0,0700","    0",",,0","   76",",,0,","   56",",,0","  -78",",,0",,,,,,,,,"  -22",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-11","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0","P,,0,0700","    0","P,,0","   51",",,0,","   39",",,0","  -33",",I,0",,,,,,,,,"  -56",",I,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-12","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0","P,,0,0700","    0","P,,0","   25",",,0,","   44",",,0","  -56",",,0",,,,,,,,,"    6",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-13","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   13",",,0,0700","   25",",,0","   51",",,0,","  100",",,0","  -56",",,0",,,,,,,,,"  -56",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-14","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   25",",,0,0700","   51",",,0","  102",",,0,","  -56",",,0"," -150",",,0",,,,,,,,," -122",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-15","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   36",",,0,0700","  102",",,0","  203",",,0,","  -50",",,0"," -122",",,0",,,,,,,,," -111",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-16","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0",",,0,0700","    0",",,0","  178",",,0,","   17",",,0"," -122",",,0",,,,,,,,,"   11",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-17","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0",",,0,0700","    0",",,0","   76",",,0,","  117",",,0","   11",",,0",,,,,,,,,"   56",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-18","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   20",",,0,0700","    0","P,,0","   25",",,0,","  106",",,0","   61",",,0",,,,,,,,,"   67",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-19","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0","T,,0,0700","    0","P,,0","    0",",,0,","  128",",,0","   61",",,0",,,,,,,,,"   83",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-20","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","  396",",,0,0700","  178",",,0","  178",",,0,","  128",",,0","  -61",",,0",,,,,,,,,"  -61",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-21","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   91",",,0,0700","  102",",,0","  279",",,0,","  -56",",,0","  -67",",,0",,,,,,,,,"  -67",",,0,0700","    1",",,0",,,"    1",",,0",,,"    1",",,0",,
"USC00467513","1986-01-22","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0",",,0,0700","    0",",,0","  152",",,0,","  133",",,0","  -67",",,0",,,,,,,,,"   83",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-23","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0","T,,0,0700","    0","P,,0","  102",",,0,","  106",",,0","  -50",",,0",,,,,,,,,"  -44",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-24","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0",",,0,0700","    0","P,,0","   76",",,0,","   44",",,0","  -78",",,0",,,,,,,,,"  -72",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-25","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0",",,0,0700","    0","P,,0","   51",",,0,","   22",",,0","  -72",",,0",,,,,,,,,"   22",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-26","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   89",",,0,0700","  102",",,0","  178",",,0,","   22",",,0","  -33",",,0",,,,,,,,,"  -22",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-27","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   64",",,0,0700","  102",",,0","  254",",,0,","  -11",",,0"," -150",",,0",,,,,,,,," -150",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-28","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   20",",,0,0700","   25",",,0","  279",",,0,"," -150",",,0"," -222",",,0",,,,,,,,," -222",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-29","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0",",,0,0700","    0",",,0","  279",",,0,","  -39",",,0"," -222",",,0",,,,,,,,,"  -39",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-30","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","  119",",,0,0700","  102",",,0","  305",",,0,","  -11",",,0"," -106",",,0",,,,,,,,," -100",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-01-31","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0","T,,0,0700",,,"  279",",,0,","  -78",",,0"," -106",",,0",,,,,,,,,"  -89",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-02-01","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0","P,,0,0700","    0","P,,0","  203",",,0,","   39",",,0"," -106",",,0",,,,,,,,,"   39",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-02-02","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   13",",,0,0700","    0","P,,0","  102",",,0,","  106",",,0","   28",",,0",,,,,,,,,"   50",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-02-03","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   36",",,0,0700","    0","P,,0","   51",",,0,","   67",",,0","   44",",,0",,,,,,,,,"   61",",,0,0700","    1",",,0",,,,,,,,,,
"USC00467513","1986-02-04","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","  170",",,0,0700","    0","P,,0","    0",",,0,","  100",",,0","   56",",,0",,,,,,,,,"   94",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-02-05","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   13",",,0,0700","    0","P,,0","    0","P,,0,","  139",",,0","   94",",,0",,,,,,,,,"  111",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-02-06","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   41",",,0,0700","    0","P,,0","    0","P,,0,","  144",",,0","   56",",,0",,,,,,,,,"   61",",,0,0700","    1",",,0",,,,,,,,,,
"USC00467513","1986-02-07","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   20",",,0,0700","    0","T,,0","    0","T,,0,","  106",",,0","   -6",",,0",,,,,,,,,"    0",",,0,0700",,,,,,,,,"    1",",,0",,
"USC00467513","1986-02-08","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0","P,,0,0700","    0","P,,0","    0","P,,0,","   50",",,0","  -33",",,0",,,,,,,,,"  -28",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-02-09","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0","T,,0,0700","    0","T,,0","    0","P,,0,","   11",",,0","  -28",",,0",,,,,,,,,"  -22",",,0,0700","    1",",,0",,,,,,,,,,
"USC00467513","1986-02-10","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0","T,,0,0700","    0","T,,0","    0","T,,0,","   -6",",,0","  -28",",,0",,,,,,,,,"  -17",",,0,0700","    1",",,0",,,,,,,,,,
"USC00467513","1986-02-11","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   46",",,0,0700","   51",",,0","   51",",,0,","   -6",",,0","  -56",",,0",,,,,,,,,"  -50",",,0,0700",,,,,,,,,"    1",",,0",,
"USC00467513","1986-02-12","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   41",",,0,0700","   76",",,0","  127",",,0,","   -6",",,0"," -144",",,0",,,,,,,,," -144",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-02-13","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   15",",,0,0700","   25",",,0","  152",",,0,","  -83",",,0"," -172",",,0",,,,,,,,," -172",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-02-14","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0",",,0,0700","    0",",,0","  102",",,0,","  -61",",,0"," -172",",,0",,,,,,,,,"  -61",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-02-15","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","  127",",,0,0700","  114",",,0","  203",",,0,","  -33",",,0","  -89",",,0",,,,,,,,,"  -83",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-02-16","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   15",",,0,0700","   25",",,0","  178",",,0,","    0",",,0"," -100",",,0",,,,,,,,,"    0",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-02-17","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0","P,,0,0700","    0","P,,0","   76",",,0,","  133",",,0","    0",",,0",,,,,,,,,"   89",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-02-18","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","  119",",,0,0700","    0","P,,0","    0",",,0,","   94",",,0","   67",",,0",,,,,,,,,"   72",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-02-19","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   23",",,0,0700","    0","P,,0","    0","P,,0,","  100",",,0","   67",",,0",,,,,,,,,"   94",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-02-20","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0","T,,0,0700","    0","P,,0","    0","P,,0,","  144",",,0","   72",",,0",,,,,,,,,"   78",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-02-21","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","    0",",,0,0700","    0","P,,0","    0","P,,0,","  183",",,0","   67",",,0",,,,,,,,,"  100",",,0,0700",,,,,,,,,,,,
"USC00467513","1986-02-22","38.2062","-80.5205","941.8","RICHWOOD 1 SSE, WV US","   13",",,0,0700","    0","P,,0","    0","P,,0,","  133",",,0","  -33",",,0",,,,,,,,,"  -22",",,0,0700",,,,,,,,,"    1",",,0",,
